Charger ID,Station ID,Station Name,Charger Model,Charger Type(BC/CC),Charger SW Version,No of Slots,No of Charging Slots,No of Available Batteries,No of Empty SLots,No of Faulty Slots,Last Comm Time stamp,Last Swap Time Stamp,Last Swap Rider,Activation Status,Installation Date,,Lat,Long,Site Name,Zone,State,City,Address Line 1,Address Line 2,PIN
DO2110394070005,CS13344904,Pavillion 79_Wakad_Chinchwad_Pune_MH,Bulk Charger-24.0KW,BC,37.14.26.10,12,2,11,1,0,2022-11-16 12:10:27,--,--,Active,2022-01-05 15:42:53,,18.6010,73.7405,Pavillion 79,West,Maharshtra,Pune,Pavillion 79,Wakad,
DO2110395840004,CS17841012,6219_Anudh_Smart_Pune,Bulk Charger-24.0KW,BC,37.14.26.10,12,2,11,1,0,2022-10-29 16:49:47,--,--,Active,2022-05-19 22:12:15,,12.9705,77.6447,6219,West,Maharshtra,Pune,6219,Aundh Smart,
D32210416480010,CS47261847,TNA8_Shahibag_Ahmedabad_GJ,Bulk Charger-13.2KW,BC,37.14.26.11,12,0,9,3,0,2022-11-23 10:36:46,--,--,Active,2022-10-18 13:28:10,,12.9705,77.6447,TNA8,West,Gujarat,Ahmedabad,TNA8,Shahibag,
DO2110393760003,CS57301833,Crown interiorz Mall_Subhash nagar_FBD_HR,Bulk Charger-8.8KW,BC,37.14.24.00,8,4,0,2,0,2022-11-23 10:40:07,2022-11-23 10:30:57,Sushant Singh,Active,2022-02-17 20:13:06,,28.4700,77.3070,Crown interiorz Mall,North,Delhi UT,Delhi NCR,Crown interiorz Mall,Subhash nagar,
D92110391230001,CS63021498,Signature street_Govindpuram_GZB_UP,Bulk Charger-13.2KW,BC,37.14.26.11,12,7,6,1,0,2022-11-23 10:41:41,2022-11-23 10:02:49,Sharuk Khan,Active,2021-11-01 18:07:14,,28.6885,77.4884,Signature street,North,Delhi UT,Delhi NCR,Signature street,Govindpuram,
D92110391300004,CS66935572,Greater_Hyderabad_Municipal_Corporation_Telangana,Bulk Charger-13.2KW,BC,37.14.26.11,12,0,11,1,0,2022-11-23 10:41:24,--,--,Active,2022-03-15 18:20:01,,17.3051,78.4743,Greater Hyderabad Municipal Corporation,South,Telangana,Hyderabad,Greater Hyderabad Municipal Corporation,,
D92110391230004,CS28977929,CWC Warehousing_RP Bagh_DEL,Bulk Charger-13.2KW,BC,37.14.33.00,12,0,1,11,0,2022-11-23 10:41:08,2022-11-23 07:39:40,Parsodi,Active,2021-11-01 18:07:14,,28.6859,77.1933,CWC Warehousing,North,Delhi UT,Delhi NCR,CWC Warehousing,RP Bagh,
DN2110399200001,CS39801816,Elpro_Chinchwad_Pune_MH,Bulk Charger-16.0KW,BC,37.14.26.11,8,1,4,3,0,2022-11-23 10:41:03,2022-11-20 13:38:15,Badal Gaikwad,Active,2022-02-18 14:24:39,,18.6288,73.7842,Elpro,West,Maharshtra,Pune,Elpro,Chinchwad,
DO2110393760001,CS57301833,Crown interiorz Mall_Subhash nagar_FBD_HR,Bulk Charger-8.8KW,BC,37.14.26.10,8,4,4,1,0,2022-11-23 10:40:52,2022-11-23 08:52:38,Sushant Singh,Active,2022-02-17 20:13:06,,28.4698,77.3070,Crown interiorz Mall,North,Delhi UT,Delhi NCR,Crown interiorz Mall,Subhash nagar,
DO2110394000004,CS47261847,TNA8_Shahibag_Ahmedabad_GJ,Bulk Charger-13.2KW,BC,37.14.26.11,12,0,6,6,0,2022-11-23 10:33:22,--,--,Active,2022-10-18 13:28:10,,12.9705,77.6447,TNA8,West,Gujarat,Ahmedabad,TNA8,Shahibag,
